lemma,part_of_speech,absolute_frequency
blackwater,NOUN,1
bladder,NOUN,368
bladder,PROPN,1
bladder,VERB,3
bladdertumour,NOUN,2
bladdertumour,PROPN,1
blade,NOUN,9
blanch,VERB,2
bland,ADJ,3
blank,ADJ,1
blanket,NOUN,3
blanket,PROPN,1
blast,NOUN,7
blastic,ADJ,2
blastocyst,NOUN,6
blastoma,PROPN,3
blastomas,PROPN,2
blastomycosis,NOUN,2
blastospore,NOUN,1
ble,ADJ,5
ble,NOUN,1
ble,PROPN,17
ble,VERB,4
ble,X,6
bleach,NOUN,3
bleach,VERB,2
bleaching,NOUN,7
bleb,NOUN,1
bleed,NOUN,3
bleed,PROPN,1
bleed,VERB,252
bleeding,NOUN,177
bleeding,PROPN,1
blem,NOUN,1
blemish,NOUN,15
blemish,PROPN,1
blende,NOUN,1
blepharitis,NOUN,7
blepharoplasty,NOUN,5
blepharospasm,INTJ,1
blepharospasm,PROPN,1
blight,VERB,2
blind,ADJ,16
blind,ADV,2
blind,PROPN,1
blindness,NOUN,67
blindness,VERB,1
bling,NOUN,1
blink,PROPN,2
blink,VERB,8
blinking,NOUN,1
blister,NOUN,67
blister,VERB,21
blistered,ADJ,1
blistering,NOUN,1
blistery,ADJ,2
bloat,VERB,11
bloated,ADJ,2
bloater,NOUN,1
bloater,PROPN,1
bloating,NOUN,4
block,NOUN,87
block,VERB,187
blockage,ADJ,1
blockage,ADV,2
blockage,NOUN,121
blockage,PROPN,1
blockage,VERB,3
blocker,NOUN,85
blocker,PROPN,1
blocker,VERB,1
blockers,PROPN,1
blocking,NOUN,5
blonde,ADJ,1
blood,NOUN,3726
bloodless,ADJ,1
bloodlette,VERB,2
bloodletting,NOUN,1
bloodshot,ADJ,1
bloodstaine,VERB,3
bloodstained,ADJ,6
bloodstream,NOUN,156
bloodstream,VERB,1
bloodsucke,VERB,3
bloodvessel,NOUN,1
bloody,ADJ,11
blossom,NOUN,1
blot,NOUN,3
blotch,NOUN,2
blotchy,ADJ,5
blow,NOUN,38
blow,VERB,20
blowing,NOUN,1
blue,ADJ,72
blue,NOUN,11
blue,PROPN,2
blue,VERB,1
blueness,NOUN,1
blueprint,NOUN,1
bluish,ADJ,16
blunt,ADJ,4
blunt,ADV,1
blunt,NOUN,1
blunt,VERB,1
blur,VERB,33
blurred,ADJ,41
blush,VERB,4
blushing,NOUN,1
bly,PROPN,3
bm,NOUN,1
bma,ADJ,1
bmr,NOUN,1
board,NOUN,5
boarding,NOUN,1
bocytopenic,ADJ,1
bodily,ADV,2
bodily,NOUN,1
body,ADJ,5
body,ADV,5
body,NOUN,2054
body,PROPN,1
body,VERB,1
bodybuilder,NOUN,1
bogluconate,PROPN,1
bohydrate,NOUN,1
boil,NOUN,17
boil,VERB,13
boiling,NOUN,5
boisterous,ADJ,1
boli,X,1
bolic,ADJ,4
bolic,NOUN,2
bolism,NOUN,3
bolize,VERB,1
bolus,NOUN,7
bolytic,ADJ,1
bombard,VERB,1
bon,PROPN,7
bonate,NOUN,1
bond,NOUN,5
bond,VERB,10
bondage,PROPN,1
bonding,NOUN,12
bone,NOUN,1366
bone,VERB,3
bonelike,ADJ,6
bony,NOUN,54
book,NOUN,6
boost,VERB,6
booster,NOUN,17
boosterwithin,PROPN,1
bophilia,PROPN,1
borage,NOUN,1
borborygmi,INTJ,1
borborygmi,PROPN,2
border,NOUN,3
borderline,NOUN,2
bordetella,NOUN,2
bore,NOUN,2
bored,ADJ,1
boredom,NOUN,1
borne,ADJ,1
bose,NOUN,1
bosis,NOUN,3
both,CCONJ,46
both,DET,313
both,PRON,311
botox,ADJ,1
bottle,NOUN,20
bottled,ADJ,5
bottleneck,NOUN,1
bottom,ADJ,2
bottom,NOUN,10
botulinum,ADJ,3
botulinum,NOUN,4
botulinum,PROPN,1
botulinum,VERB,1
botulism,NOUN,10
bougie,NOUN,2
bougie,VERB,1
bounce,VERB,3
bound,NOUN,1
bound,VERB,3
boundary,NOUN,5
bour,VERB,1
bout,NOUN,17
bovine,NOUN,10
bow,NOUN,3
bow,VERB,4
bowel,NOUN,103
bowel,PROPN,9
bowel,VERB,2
bowl,NOUN,3
bowleg,NOUN,4
bowleg,PROPN,1
box,NOUN,86
box,PROPN,55
boxing,NOUN,1
boy,NOUN,51
boys,NOUN,1
bp,NOUN,1
br,PROPN,18
bra,NOUN,2
brace,NOUN,13
brace,PROPN,1
brace,VERB,1
bracelet,NOUN,4
brachial,ADJ,19
brachialgia,PROPN,1
brachii,VERB,1
brachytherapy,NOUN,5
bracket,NOUN,3
bradycardia,NOUN,16
bradykinin,NOUN,2
brae,NOUN,3
brain,NOUN,1143
brain,PROPN,1
brain,VERB,2
brainstem,NOUN,70
brake,NOUN,1
bral,ADJ,9
bran,NOUN,3
bran,PROPN,1
branch,NOUN,101
branch,VERB,20
branched,ADJ,2
branchial,ADJ,10
branchial,NOUN,1
branching,NOUN,6
brand,NOUN,144
brandy,NOUN,1
brane,NOUN,35
branous,ADJ,2
brash,ADJ,1
brate,VERB,1
brca,NOUN,2
breach,NOUN,1
bread,NOUN,25
break,NOUN,24
break,VERB,155
breakbone,NOUN,1
breakdown,NOUN,62
breakfast,NOUN,4
breakfree,PROPN,1
breaking,NOUN,2
breakthrough,NOUN,3
breast,ADP,1
breast,AUX,332
breast,NOUN,400
breast,PROPN,1
breast,VERB,2
breastbone,NOUN,40
breath,NOUN,83
breath,PROPN,8
breathe,VERB,109
breathing,NOUN,261
breathless,NOUN,2
breathlessness,NOUN,48
breech,NOUN,25
breed,NOUN,1
breed,VERB,1
breeder,NOUN,1
bretyllium,NOUN,1
brewer,NOUN,1
brick,NOUN,1
bridge,NOUN,11
bridge,PROPN,6
bridgework,NOUN,1
brief,ADJ,30
brief,NOUN,1
briefly,ADV,15
bright,ADJ,34
bright,NOUN,1
brightness,NOUN,1
brilliant,ADJ,1
brim,NOUN,1
bring,VERB,92
britde,ADJ,1
british,ADJ,12
brittle,ADJ,9
brittleness,NOUN,1
broad,ADJ,20
broadcast,NOUN,1
broadcast,VERB,2
broadcasting,NOUN,1
broaden,VERB,1
broadening,NOUN,1
broadly,ADV,7
broccoli,NOUN,1
broken,ADJ,40
bromide,NOUN,7
bromocriptine,NOUN,7
bromocriptine,VERB,1
bronchi,ADJ,1
bronchi,NOUN,35
bronchi,PROPN,5
bronchial,ADJ,5
bronchial,NOUN,1
bronchiectasis,NOUN,13
bronchiole,NOUN,22
bronchiole,PROPN,3
bronchiolitis,NOUN,6
bronchitis,NOUN,46
bronchitis,PROPN,1
bronchoconstrictor,NOUN,2
bronchodilator,NOUN,18
bronchodilator,PROPN,6
bronchography,NOUN,1
bronchography,PROPN,1
bronchopneumonia,NOUN,4
bronchoscope,NOUN,4
bronchoscope,VERB,1
bronchoscopy,NOUN,13
bronchospasm,NOUN,5
bronchu,NOUN,9
bronchus,PROPN,4
bronze,NOUN,5
bronzed,ADJ,1
brooding,ADJ,1
brosidase,PROPN,1
brospinal,ADJ,1
broth,NOUN,1
brother,NOUN,4
brovascular,PROPN,2
brow,NOUN,2
brow,PROPN,1
brown,ADJ,81
brown,NOUN,11
brown,PROPN,2
brown,VERB,1
brownish,ADJ,2
brucei,NOUN,1
brucellosis,NOUN,8
bruise,NOUN,13
bruise,VERB,26
bruiselike,ADJ,1
bruising,NOUN,10
bruit,NOUN,9
brum,PROPN,6
brush,NOUN,7
brush,VERB,5
brushlike,ADP,1
bruxism,NOUN,1
bs,NOUN,1
bubble,NOUN,14
bubble,VERB,2
bubbly,ADV,1
bubo,NOUN,8
bubonic,ADJ,6
bubonic,NOUN,1
buccal,ADJ,6
buck,NOUN,2
buck,PROPN,1
bucket,NOUN,1
buclizine,NOUN,1
bud,NOUN,29
budding,NOUN,1
budesonide,PROPN,1
bufen,PROPN,1
buffalo,NOUN,1
buffalo,PROPN,1
buffer,NOUN,2
buffet,VERB,1
bug,NOUN,1
bug,VERB,1
build,NOUN,15
build,VERB,43
builder,NOUN,1
building,NOUN,13
buildup,NOUN,42
buildup,VERB,3
buknetti,NOUN,1
bulb,NOUN,19
bulb,PROPN,1
bulb,VERB,2
bulbar,ADJ,2
bulbar,NOUN,1
bulbous,ADJ,3
bulge,NOUN,11
bulge,VERB,13
bulging,NOUN,3
bulimia,NOUN,11
bulk,ADJ,1
bulk,NOUN,34
bulky,ADJ,6
bull,NOUN,1
bulla,NOUN,1
bullae,NOUN,3
bullet,NOUN,4
bullosa,NOUN,2
bullosa,PROPN,1
bullous,ADJ,3
bumetanide,ADJ,2
bump,NOUN,5
bunch,NOUN,1
bunch,VERB,1
bunche,NOUN,1
bundle,NOUN,29
bundle,VERB,1
bunion,NOUN,10
buoyancy,NOUN,1
buoyant,ADJ,1
buphthalmos,PROPN,2
bupivacaine,NOUN,2
bupropion,NOUN,1
burgdorferi,PROPN,1
burial,NOUN,1
burn,NOUN,66
burn,VERB,52
burning,NOUN,6
burp,VERB,1
burr,NOUN,9
burrow,NOUN,1
burrow,VERB,3
bursa,NOUN,13
bursa,PROPN,8
bursae,NOUN,1
bursitis,NOUN,21
bursitis,PROPN,1
burst,ADJ,1
burst,NOUN,11
burst,PROPN,1
burst,VERB,16
bursting,NOUN,1
bury,VERB,3
bus,NOUN,1
buse,NOUN,1
buserelin,PROPN,1
buspirone,NOUN,2
but,CCONJ,1220
but,SCONJ,2
bute,NOUN,1
bute,VERB,1
bution,NOUN,2
butter,NOUN,12
butterfly,NOUN,5
buttock,ADJ,2
buttock,NOUN,30
buttock,VERB,2
button,NOUN,4
button,PROPN,1
button,VERB,1
butylbromide,ADJ,1
butyric,ADJ,1
butyrophenone,NOUN,1
butyrophenone,VERB,2
buy,VERB,4
buzz,VERB,2
buzzer,NOUN,3
buzzing,ADJ,1
bvetmed,NOUN,1
by,ADP,5542
by,ADV,3
by,NOUN,3
byacth,NOUN,1
bye,INTJ,2
bye,NOUN,2
byopia,PROPN,1
bypass,NOUN,34
bypass,VERB,18
byssinosis,NOUN,2
bytsh,ADJ,1
c,NOUN,57
c,PROPN,13
c,X,4
ca,PROPN,3
cabbage,ADJ,1
cabergoline,NOUN,1
cabin,NOUN,3
cable,NOUN,1
cachexia,PROPN,1
cactus,NOUN,2
cadaver,NOUN,3
cadmium,NOUN,7
caecum,ADJ,1
caecum,NOUN,9
caecum,PROPN,1
caemia,NOUN,5
caemia,PROPN,4
caemic,NOUN,3
caesarean,ADJ,20
caesarean,NOUN,8
caesarean,PROPN,7
caeyophyilata,NOUN,1
cafe,PROPN,1
cafe,X,1
caffeinated,ADJ,1
caffeine,NOUN,32
cage,NOUN,8
caisson,PROPN,1
cake,NOUN,4
cal,ADJ,20
cal,NOUN,20
cal,PROPN,9
calabar,ADJ,1
calamine,ADJ,2
calamine,NOUN,4
calamine,PROPN,4
calcaemia,PROPN,1
calcaneal,ADJ,3
calcaneus,ADJ,1
calcaneus,NOUN,17
calciferol,NOUN,1
calcification,NOUN,15
calcify,VERB,5
calcinosis,NOUN,3
calcipotriol,NOUN,2
calcitonin,NOUN,14
calcium,NOUN,145
calculate,VERB,15
calculation,NOUN,1
calculi,NOUN,17
calculi,PROPN,2
calculus,NOUN,60
calendar,NOUN,3
calf,NOUN,20
calibrate,VERB,1
caliper,NOUN,5
calisthenic,NOUN,1
call,NOUN,1
call,VERB,786
callosity,NOUN,2
callosum,ADJ,1
callosum,NOUN,1
callosum,PROPN,3
callus,NOUN,8
cally,ADV,19
calm,ADJ,3
calm,NOUN,1
calm,VERB,3
calming,NOUN,1
calmly,ADV,1
calmness,NOUN,2
caloric,ADJ,3
caloric,NOUN,2
calorie,NOUN,32
calorimetry,NOUN,3
calyx,NOUN,7
cam,NOUN,1
camera,NOUN,15
camouflage,VERB,1
camp,NOUN,1
campaign,NOUN,1
campaign,VERB,1
campaigning,NOUN,1
campylobacter,ADJ,1
campylobacter,NOUN,1
can,AUX,2639
can,VERB,4
canadian,ADJ,1
canal,ADJ,3
canal,NOUN,141
canal,PROPN,22
canaliculi,PROPN,1
cance,NOUN,1
cancel,VERB,1
cancellous,ADJ,1
cancer,NOUN,952
cancer,VERB,1
cancerous,ADJ,182
cancerphobia,PROPN,1
cancerthan,PROPN,1
cancrum,NOUN,2
cancrum,PROPN,1
candida,ADJ,1
candidiasis,NOUN,45
cane,NOUN,3
cane,PROPN,1
canesten,ADJ,1
cani,NOUN,2
canine,ADJ,2
canine,NOUN,12
canine,PROPN,1
canine,VERB,2
canister,NOUN,1
canker,NOUN,1
cannabis,NOUN,1
cannabis,PROPN,1
cannibalism,NOUN,1
cannula,NOUN,17
cannula,VERB,1
canthus,PROPN,1
cantly,ADV,1
canvas,NOUN,1
cap,NOUN,22
cap,VERB,2
capability,NOUN,3
capable,ADJ,32
capacitate,VERB,1
capacity,NOUN,36
capillary,ADJ,9
capillary,NOUN,52
capitis,NOUN,1
capitis,PROPN,1
capping,NOUN,1
capsid,NOUN,6
capsulatum,PROPN,1
capsule,ADJ,1
capsule,NOUN,33
capsule,PROPN,11
capsulitis,NOUN,1
capsulitis,PROPN,1
captopril,PROPN,1
caput,NOUN,1
caput,PROPN,3
car,NOUN,9
carateum,PROPN,1
carbachol,NOUN,1
carbamazepine,NOUN,6
carbamazepine,VERB,1
carbaryl,PROPN,1
carbenoxolone,NOUN,1
carbenoxolone,PROPN,1
carbidopa,NOUN,2
carbimazole,PROPN,3
carbocisteine,NOUN,1
carbohydrate,NOUN,77
carbolic,ADJ,3
carbon,NOUN,115
carbonate,NOUN,3
carbonated,ADJ,3
carbonic,ADJ,1
carbonic,NOUN,3
carboxyl,NOUN,1
carbuncle,NOUN,5
carcass,NOUN,1
carcinogen,NOUN,10
carcinogen,PROPN,1
carcinogenesis,NOUN,1
carcinogenic,ADJ,1
carcinogenic,NOUN,1
carcinogens,ADJ,2
carcinoid,ADJ,5
carcinoid,NOUN,5
carcinoid,PROPN,6
carcinoma,NOUN,68
carcinoma,PROPN,1
carcinoma,VERB,2
carcinomatosis,NOUN,4
card,NOUN,7
cardia,PROPN,2
cardiac,ADJ,103
cardiac,ADV,1
cardiac,NOUN,13
cardiac,PROPN,9
cardiac,X,14
cardial,ADJ,2
cardiography,NOUN,2
cardiologist,NOUN,3
cardiology,NOUN,1
cardiomegaly,PROPN,3
cardiomyopathy,ADJ,12
cardiomyopathy,NOUN,8
cardiomyopathy,PROPN,7
cardiopulmonary,ADJ,12
cardiopulmonary,PROPN,3
cardioselective,ADJ,8
cardiothoracic,NOUN,1
cardiotocograph,NOUN,1
cardiotocography,PROPN,2
cardiovascular,ADJ,21
cardiovascular,NOUN,4
cardioversion,NOUN,1
carditis,NOUN,4
cardium,PROPN,4
care,NOUN,132
care,PROPN,2
care,VERB,12
careful,ADJ,24
carefully,ADV,24
careldopa,ADJ,1
carer,NOUN,6
caressing,NOUN,1
caria,PROPN,1
carie,NOUN,38
carinic,NOUN,1
carminative,ADJ,1
carminative,NOUN,1
carneous,ADJ,1
carnivore,NOUN,1
carnotite,PROPN,1
carotenaemia,NOUN,4
carotene,NOUN,7
carotid,ADJ,4
carotid,NOUN,42
carpal,ADJ,6
carpal,NOUN,10
carpet,NOUN,4
carpopedal,ADJ,2
carpus,PROPN,2
carriage,NOUN,5
carriage,VERB,1
carrier,NOUN,37
carrot,NOUN,2
carry,VERB,571
carrying,NOUN,5
cartilage,NOUN,137
cartilaginous,ADJ,3
cartridge,NOUN,2
caruncle,NOUN,1
caruncle,PROPN,1
cascade,PROPN,1
cascara,NOUN,2
cascara,PROPN,1
case,NOUN,1015
case,VERB,2
caseous,ADJ,3
casing,NOUN,2
casionally,ADV,2
cassava,NOUN,1
cassette,NOUN,1
cast,NOUN,31
cast,VERB,11
castor,NOUN,5
castrate,VERB,1
castration,NOUN,3
casual,ADJ,3
casualty,NOUN,6
cat,NOUN,26
cat,PROPN,1
cat,VERB,7
catabolism,NOUN,5
catalepsy,ADJ,1
catalepsy,PROPN,1
catalyst,NOUN,8
catalyst,PROPN,1
catalyze,VERB,1
cataplexy,NOUN,3
cataract,NOUN,52
cataract,VERB,1
catarrh,NOUN,1
catarshali,NOUN,1
catatonia,NOUN,3
catatonic,ADJ,1
catch,VERB,11
cate,NOUN,2
cate,VERB,7
categorize,VERB,2
category,NOUN,19
cater,VERB,1
catgut,NOUN,1
catharsis,NOUN,2
catharthi,VERB,1
catharthis,PRON,1
cathartic,ADJ,2
catheter,NOUN,75
catheter,PROPN,1
catheterization,NOUN,34
cation,NOUN,27
cattle,NOUN,11
cauda,NOUN,1
cauda,PROPN,1
caudal,ADJ,6
caudal,NOUN,3
cauliflower,NOUN,4
cauliflower,PROPN,2
cauliflowerlike,PROPN,1
causalgia,NOUN,1
causalgia,PROPN,1
causative,ADJ,23
cause,NOUN,1336
cause,PROPN,10
cause,SCONJ,1
cause,VERB,3497
causing,NOUN,4
caustic,ADJ,7
cauterization,NOUN,5
cauterize,VERB,3
cautery,NOUN,1
caution,NOUN,3
caution,VERB,1
cautious,ADJ,1
cava,NOUN,17
cavae,ADJ,2
cavae,NOUN,5
cavae,PROPN,3
cave,NOUN,1
caverject,ADJ,1
cavernosa,ADV,1
cavernosum,PROPN,2
cavernous,ADJ,7
cavity,NOUN,270
cavus,PROPN,1
cb,PROPN,7
cb,X,2
cct,NOUN,1
cd,NOUN,1
ce,NOUN,1
ce,PROPN,1
ce,VERB,3
cease,NOUN,4
cease,VERB,20
ced,PROPN,1
cedure,NOUN,8
ceed,ADV,1
cefaclor,NOUN,1
cefadroxil,NOUN,1
cefalexin,PROPN,2
cefotaxime,NOUN,1
ceftazidime,NOUN,1
cefuroxime,NOUN,1
ceh,X,1
ceil,NOUN,1
cein,PROPN,1
ceive,VERB,2
cele,NOUN,1
cele,PROPN,2
celecoxib,NOUN,3
celecoxib,VERB,1
cell,NOUN,2044
cell,VERB,3
cella,NOUN,2
celle,VERB,14
cellosis,NOUN,1
cellular,ADJ,20
cellulite,ADJ,1
cellulite,NOUN,1
cellulitis,NOUN,11
cellulose,NOUN,7
celsius,NOUN,6
cement,NOUN,5
cement,VERB,10
cementum,NOUN,5
cend,NOUN,2
cent,NOUN,85
centa,PROPN,5
centesis,NOUN,3
centigrade,NOUN,2
centimetre,NOUN,5
cently,ADV,1
central,ADJ,134
central,PROPN,1
centrally,ADV,10
centrate,VERB,3
centration,NOUN,6
centre,NOUN,128
centre,PROPN,1
centre,VERB,2
centrifugal,ADJ,1
centrifugation,NOUN,1
centrifuge,NOUN,2
centrifuge,VERB,1
centromere,NOUN,4
centromere,PROPN,1
century,NOUN,9
ceous,ADJ,2
cep,NOUN,1
cephalexin,PROPN,1
cephalhaematoma,INTJ,1
cephalhaematoma,NOUN,3
cephalic,ADJ,3
cephalopathy,PROPN,2
cephalopelvic,ADJ,2
cephalosporin,NOUN,11
cephalosporin,PROPN,1
cephalosporins,PROPN,1
cephalus,NOUN,3
cept,VERB,1
ceptibility,NOUN,5
ceptible,ADJ,2
ception,NOUN,8
ceptive,ADJ,5
ceptive,NOUN,2
ceptor,NOUN,2
cer,NOUN,3
cer,PROPN,35
cereal,NOUN,44
cerebellar,ADJ,6
cerebellar,NOUN,1
cerebellum,NOUN,25
cerebellum,PROPN,4
cerebellum,VERB,1
cerebellum,X,1
cerebral,ADJ,61
cerebral,NOUN,8
cerebral,PROPN,1
cerebri,NOUN,1
cerebrospinal,ADJ,28
cerebrospinal,NOUN,1
cerebrovascular,ADJ,4
cerebrovascular,NOUN,1
cerebrum,NOUN,26
cerebrum,PROPN,5
ceride,NOUN,2
cern,NOUN,2
cerne,VERB,10
cerol,PROPN,1
cerous,ADJ,6
certain,ADJ,579
certain,VERB,1
certainty,NOUN,1
certificate,NOUN,4
certification,NOUN,1
certify,VERB,2
ceruman,NOUN,1
cerumen,PROPN,1
cervical,ADJ,142
cervicitis,NOUN,4
cervix,ADJ,1
cervix,NOUN,158
cervix,PROPN,12
cervix,VERB,1
ces,PROPN,2
ces,X,5
cess,ADV,1
cessation,NOUN,27
cesse,NOUN,7
cesse,VERB,2
cessful,ADJ,4
cessfully,ADV,4
cessive,ADJ,2
cestode,NOUN,4
cetamol,PROPN,2
cete,NOUN,1
cetirizine,NOUN,1
cetrimide,PROPN,2
ceutical,NOUN,1
cf,INTJ,1
cfc,NOUN,1
cfih,NOUN,1
cgc,NOUN,1
ch,ADJ,4
ch,PROPN,1
chain,NOUN,48
chainlike,ADP,1
chainlike,PROPN,1
chair,NOUN,6
chalazion,NOUN,7
challenge,NOUN,4
chamber,NOUN,127
chamber,PROPN,7
chambered,ADJ,2
chance,NOUN,55
chancre,NOUN,3
chancre,PROPN,2
chancre,X,1
chancroid,NOUN,2
change,NOUN,297
change,VERB,54
changeable,ADJ,1
channel,NOUN,71
channel,PROPN,3
channel,VERB,2
chaotic,ADJ,1
chap,VERB,4
chaperone,NOUN,3
chapping,NOUN,2
char,VERB,1
character,NOUN,5
characteristic,ADJ,53
characteristic,NOUN,63
characteristically,ADV,2
characterize,VERB,157
charcoal,NOUN,4
charge,NOUN,14
charge,VERB,14
charitable,ADJ,1
charity,NOUN,2
charming,ADJ,1
charred,ADJ,1
chart,NOUN,29
chart,PROPN,1
chart,VERB,4
charts,NOUN,1
chat,NOUN,2
chat,VERB,1
chatter,VERB,1
chb,NOUN,1
chea,VERB,2
cheap,ADJ,1
check,NOUN,24
check,VERB,69
checking,NOUN,2
checkup,VERB,1
cheddar,NOUN,2
cheek,ADJ,1
cheek,NOUN,42
cheekbone,NOUN,4
cheerful,ADJ,1
cheese,NOUN,28
cheeselike,ADJ,1
cheeselike,INTJ,1
cheeselike,PROPN,1
cheesy,ADJ,3
cheilitis,NOUN,3
chelate,VERB,6
chemical,ADJ,67
chemical,NOUN,301
chemical,PROPN,1
chemical,VERB,1
chemically,ADV,22
chemist,NOUN,7
chemistry,NOUN,22
chemmal,NOUN,1
chemosis,NOUN,1
chemotherapy,NOUN,23
chenodeoxycholic,PROPN,1
cheoesophageal,ADJ,1
cherry,NOUN,4
cherubic,ADJ,1
cherubism,NOUN,1
chest,ADJ,2
chest,NOUN,364
chest,PROPN,34
chestX,NOUN,4
chestnut,ADV,1
chestx,NOUN,1
chew,VERB,36
chewing,NOUN,2
chi,NOUN,4
chi,PROPN,3
chial,ADJ,1
chian,ADJ,2
chiasma,NOUN,1
chiatric,ADJ,4
chicken,NOUN,10
chickenpox,NOUN,22
chiectasis,NOUN,1
chief,ADJ,2
chief,NOUN,1
chiefly,ADV,3
chigoe,ADJ,2
chigoe,VERB,1
chilblain,NOUN,3
chilblain,PROPN,2
child,NOUN,784
child,VERB,2
childbearing,NOUN,3
childbed,ADJ,1
childbirth,NOUN,120
childhood,ADJ,1
childhood,NOUN,141
childlike,NOUN,1
chill,NOUN,19
chill,VERB,1
chilled,ADJ,1
chilling,NOUN,3
chimney,NOUN,1
chin,NOUN,7
chin,PROPN,3
chin,VERB,1
chinese,ADJ,10
chip,NOUN,2
chip,VERB,6
chiropodist,NOUN,3
chiropody,NOUN,3
chiropractic,NOUN,4
chisel,NOUN,2
chlamydia,NOUN,9
chlamydiae,NOUN,2
chlamydial,ADJ,18
chlamydial,NOUN,1
chloasma,NOUN,2
chloasma,PROPN,2
chloral,ADJ,2
chlorambucil,PROPN,2
chloramphenicol,NOUN,3
chlorate,NOUN,8
chlorate,VERB,1
chlordiazepoxide,NOUN,2
chlorhexidine,NOUN,4
chloride,ADJ,1
chloride,NOUN,9
chloride,PROPN,5
chlorine,NOUN,4
chlorofluorocarbon,NOUN,2
chloroform,NOUN,3
chloroguine,NOUN,1
chloroquine,ADJ,1
chloroquine,NOUN,8
chloroquine,PROPN,1
chloroquine,VERB,2
chlorphenamine,ADJ,1
chlorphenamine,NOUN,2
chlorpheniramine,NOUN,1
chlorpromazine,NOUN,5
chlorpropamide,VERB,1
choanal,ADJ,1
choanalysis,NOUN,2
choanalyst,NOUN,1
choanalytic,ADJ,1
chocolate,NOUN,7
choice,NOUN,9
choke,VERB,16
choking,NOUN,2
cholangiocarcinoma,NOUN,3
cholangiocarcinoma,PROPN,1
cholangiography,NOUN,4
cholangiopancreatography,NOUN,1
cholangiti,NOUN,1
cholangitis,NOUN,9
cholecalciferol,NOUN,1
cholecystectomy,ADV,1
cholecystectomy,NOUN,12
cholecystitis,NOUN,2
cholecystitis,PROPN,14
cholecystography,NOUN,4
cholecystography,PROPN,2
cholecystokinin,INTJ,1
cholecystokinin,NOUN,4
choledochal,ADJ,2
cholelithiasis,NOUN,1
cholera,NOUN,14
cholerae,PROPN,1
cholestasis,NOUN,9
cholestatic,ADJ,2
cholesteatoma,NOUN,2
cholesteatoma,PROPN,2
cholesterol,NOUN,59
cholesterolaemia,PROPN,1
cholesterolosis,NOUN,2
cholestyramine,NOUN,1
cholic,VERB,1
choline,NOUN,3
cholinergic,NOUN,5
cholinesterase,NOUN,6
chological,ADJ,8
chologically,ADV,1
chondria,PROPN,1
chondrial,ADJ,2
chondriasis,NOUN,1
chondritis,NOUN,1
chondritis,PROPN,3
chondrocalcinosis,NOUN,1
chondrocyte,NOUN,1
chondroma,NOUN,1
chondroma,PROPN,3
chondromalacia,PROPN,4
chondromatosis,NOUN,4
chondrosarcoma,NOUN,4
choose,VERB,9
choosiness,NOUN,1
chop,VERB,2
chordae,NOUN,1
chordae,VERB,1
chordee,NOUN,1
chordee,VERB,3
chorea,NOUN,16
chorea,PROPN,5
choreoathetosis,NOUN,3
choreocarcinoma,PROPN,1
chorio,NOUN,1
choriocarcinoma,ADJ,1
choriocarcinoma,NOUN,3
chorioditis,NOUN,1
chorion,NOUN,6
chorionic,ADJ,42
chorionic,PROPN,2
choroid,ADJ,7
choroid,ADV,2
choroid,NOUN,13
choroid,VERB,3
choroid,X,1
choroiditis,NOUN,2
choroiditis,PROPN,1
chosis,NOUN,3
chospasm,NOUN,1
chospasm,PROPN,1
chotherapist,NOUN,1
chotherapy,PROPN,3
chotic,ADJ,2
chromatism,NOUN,1
chromium,NOUN,4
chromosomal,ADJ,42
chromosomal,NOUN,6
chromosomal,PROPN,1
chromosome,NOUN,223
chromosome,PROPN,4
chronic,ADJ,293
chronic,NOUN,3
chronic,PROPN,40
chronic,VERB,1
chronological,ADJ,4
chronologically,ADV,1
chunk,NOUN,1
churn,VERB,4
chylomicron,NOUN,1
chylomicron,PROPN,1
chyme,NOUN,2
chymopapain,PROPN,1
cial,ADJ,12
cial,PROPN,1
cialist,ADJ,1
cialize,VERB,3
cially,ADV,13
ciate,VERB,11
ciated,ADJ,2
ciation,NOUN,1
ciclosporin,NOUN,6
ciclosporin,PROPN,1
cidal,PROPN,1
cide,NOUN,4
cider,NOUN,1
cidofovir,PROPN,1
cie,NOUN,2
ciencie,NOUN,2
ciency,NOUN,14
cient,ADJ,8
cient,NOUN,3
cient,VERB,3
ciently,ADV,2
cific,NOUN,11
cific,VERB,2
cigar,NOUN,1
cigarette,NOUN,10
cilia,NOUN,1
cilia,PROPN,8
ciliary,ADJ,26
ciliary,PROPN,2
cillamine,PROPN,1
cillin,NOUN,2
cillin,PROPN,2
cimetidine,NOUN,3
cimetidine,PROPN,1
cination,NOUN,4
cinatory,ADJ,1
cine,PROPN,10
cines,PROPN,3
cing,NOUN,1
cingulate,NOUN,1
cinnarizine,NOUN,2
cinnarizine,PROPN,1
cinogen,NOUN,1
cinogen,PROPN,1
cinoma,NOUN,2
cious,ADJ,1
cipal,ADJ,1
cipally,ADV,1
cipitate,NOUN,1
ciplinary,ADJ,1
ciprofloxacin,NOUN,3
ciproxin,NOUN,1
circadian,ADJ,4
circle,NOUN,4
circuit,NOUN,2
circuitry,NOUN,3
circular,ADJ,25
circulate,VERB,26
circulation,NOUN,137
circulatory,ADJ,36
circumcision,NOUN,13
circumference,NOUN,3
circumflex,ADJ,1
circumstance,NOUN,30
