word,lemma,part_of_speech,tag,absolute_frequency
A,A,PROPN,NNP,34
AAT,AAT,PROPN,NNP,1
AB,AB,PROPN,NNP,4
ABDOMEN,ABDOMEN,PROPN,NNP,3
ABDOMINAL,ABDOMINAL,PROPN,NNP,3
ABNORMAL,ABNORMAL,PROPN,NNP,2
ABNORMALITIES,ABNORMALITIES,PROPN,NNPS,1
ABO,ABO,PROPN,NNP,5
ABPsS,ABPsS,PROPN,NNP,1
ABRIDGE,ABRIDGE,PROPN,NNP,1
ABSCESS,ABSCESS,PROPN,NNP,3
ABSENCE,ABSENCE,PROPN,NNP,1
AC,AC,PROPN,NNP,1
ACCIDENT,ACCIDENT,PROPN,NNP,1
ACE,ACE,PROPN,NNP,24
ACG,ACG,PROPN,NNP,1
ACHALASIA,ACHALASIA,PROPN,NNP,1
ACHE,ACHE,PROPN,NNP,1
ACHIEVED,ACHIEVED,PROPN,NNP,1
ACID,ACID,PROPN,NNP,7
ACIDS,ACIDS,PROPN,NNP,2
ACT,ACT,PROPN,NNP,1
ACTH,ACTH,PROPN,NNP,21
ACTIONS,ACTIONS,PROPN,NNPS,2
ACTIVE,ACTIVE,PROPN,NNP,1
ACUITY,ACUITY,PROPN,NNP,1
ACUTE,ACUTE,PROPN,NNP,3
ADAM,ADAM,PROPN,NNP,2
ADAPTIVE,ADAPTIVE,PROPN,NNP,1
ADD,ADD,PROPN,NNP,2
ADENOIDS,ADENOIDS,PROPN,NNP,1
ADH,ADH,PROPN,NNP,38
ADJUVANT,ADJUVANT,PROPN,NNP,1
ADMINISTRATION,ADMINISTRATION,PROPN,NNP,1
ADOLESCENCE,ADOLESCENCE,PROPN,NNP,1
ADP,ADP,PROPN,NNP,3
ADRENAL,ADRENAL,PROPN,NNP,4
ADRENOGENITAL,ADRENOGENITAL,PROPN,NNP,1
ADVERSE,ADVERSE,PROPN,NNP,15
AFOM,AFOM,PROPN,NNP,1
AFP,AFP,PROPN,NNP,12
AGA,AGA,PROPN,NNP,1
AGARIC,AGARIC,PROPN,NNP,1
AGC,AGC,PROPN,NNP,1
AGENESIS,AGENESIS,PROPN,NNP,1
AGENTS,AGENTS,PROPN,NNPS,1
AGRAPHIA,AGRAPHIA,PROPN,NNP,1
AGUE,AGUE,PROPN,NNP,1
AID,AID,PROPN,NNP,1
AIDS,AIDS,PROPN,NNP,75
AIH,AIH,PROPN,NNP,2
AIR,AIR,PROPN,NNP,4
AIT,AIT,PROPN,NNP,1
ALCOHOL,ALCOHOL,PROPN,NNP,5
ALEXANDER,ALEXANDER,PROPN,NNP,1
ALEXIA,ALEXIA,PROPN,NNP,1
ALLERGIC,ALLERGIC,PROPN,NNP,1
ALLERGY,ALLERGY,PROPN,NNP,5
ALS,ALS,PROPN,NNP,5
ALVEOLITIS,ALVEOLITIS,PROPN,NNP,2
ALVEOLOPLASTY,ALVEOLOPLASTY,PROPN,NNP,1
AMENORRHOEA,AMENORRHOEA,PROPN,NNP,3
AMFEBUTAMONE,AMFEBUTAMONE,PROPN,NNP,1
AML,AML,PROPN,NNP,4
AMOXAPINE,AMOXAPINE,PROPN,NNP,1
AMOXICILLIN,AMOXICILLIN,PROPN,NNP,1
ANAEMIA,ANAEMIA,PROPN,NNP,5
ANAESTHESIA,ANAESTHESIA,PROPN,NNP,5
ANAESTHETICS,ANAESTHETICS,PROPN,NNP,1
ANALGESICS,ANALGESICS,PROPN,NNP,1
ANALYSIS,ANALYSIS,PROPN,NNP,2
ANCYLOSTOMIASIS,ANCYLOSTOMIASIS,PROPN,NNP,1
ANEURYSM,ANEURYSM,PROPN,NNP,2
ANGINA,ANGINA,PROPN,NNP,1
ANGIOPLASTY,ANGIOPLASTY,PROPN,NNP,1
ANHEDONIA,ANHEDONIA,PROPN,NNP,1
ANHIDROSIS,ANHIDROSIS,PROPN,NNP,1
ANKLE,ANKLE,PROPN,NNP,1
ANOREXIA,ANOREXIA,PROPN,NNP,1
ANTAGONISTS,ANTAGONISTS,PROPN,NNP,1
ANTEPARTUM,ANTEPARTUM,PROPN,NNP,1
ANTIBIOTIC,ANTIBIOTIC,PROPN,NNP,1
ANTIBIOTICS,ANTIBIOTICS,PROPN,NNP,1
ANTIBODY,ANTIBODY,PROPN,NNP,1
ANTICHOLINERGICS,ANTICHOLINERGICS,PROPN,NNP,1
ANTIVIRAL,ANTIVIRAL,PROPN,NNP,1
AORTA,AORTA,PROPN,NNP,1
AORTIC,AORTIC,PROPN,NNP,2
APGAR,APGAR,PROPN,NNP,1
APHTHOUS,APHTHOUS,PROPN,NNP,1
APLASTIC,APLASTIC,PROPN,NNP,1
APPETITE,APPETITE,PROPN,NNP,1
APPLE,APPLE,PROPN,NNP,2
ARC,ARC,PROPN,NNP,1
ARDS,ARDS,PROPN,NNP,1
ARRHYTHMIA,ARRHYTHMIA,PROPN,NNP,2
ARTERITIS,ARTERITIS,PROPN,NNP,1
ARTERY,ARTERY,PROPN,NNP,1
ARTHRITIS,ARTHRITIS,PROPN,NNP,3
ARTHRODESIS,ARTHRODESIS,PROPN,NNP,1
ARTHROSCOPY,ARTHROSCOPY,PROPN,NNP,1
ASCARIASIS,ASCARIASIS,PROPN,NNP,1
ASCARIS,ASCARIS,PROPN,NNP,1
ASCENDING,ASCENDING,PROPN,NNP,1
ASD,ASD,PROPN,NNP,2
ASPIRATION,ASPIRATION,PROPN,NNP,2
ASSESSMENT,ASSESSMENT,PROPN,NNP,1
ASSOCIATION,ASSOCIATION,PROPN,NNP,1
ASTHMA,ASTHMA,PROPN,NNPS,1
ATELECTASIS,ATELECTASIS,PROPN,NNP,1
ATENOLOL,ATENOLOL,PROPN,NNP,1
ATG,ATG,PROPN,NNP,2
ATHEROSCLEROSIS,ATHEROSCLEROSIS,PROPN,NNP,1
ATOMIC,ATOMIC,PROPN,NNP,1
ATP,ATP,PROPN,NNP,6
ATRIAL,ATRIAL,PROPN,NNP,2
ATTACK,ATTACK,PROPN,NNP,5
AUREUS,AUREUS,PROPN,NNP,1
AUSCULTATION,AUSCULTATION,PROPN,NNP,1
AUTOIMMUNE,AUTOIMMUNE,PROPN,NNP,1
AUTOSOMAL,AUTOSOMAL,PROPN,NNP,1
AVERSION,AVERSION,PROPN,NNP,1
AVITAMINOSIS,AVITAMINOSIS,PROPN,NNP,1
AVOIDED,AVOIDED,PROPN,NNP,1
AZT,AZT,PROPN,NNP,3
AZf,AZf,PROPN,NNPS,1
Abbey,Abbey,PROPN,NNP,1
Abbreviation,Abbreviation,PROPN,NNP,1
Abciximab,Abciximab,PROPN,NNP,1
Abnormalities,Abnormalities,PROPN,NNPS,1
Abrams,Abrams,PROPN,NNP,1
Absorbent,Absorbent,PROPN,NNP,1
Abstract,Abstract,PROPN,NNP,1
Acanthosis,Acanthosis,PROPN,NNP,2
Acarbose,Acarbose,PROPN,NNP,4
Accidental,Accidental,PROPN,NNP,1
Acebutolol,Acebutolol,PROPN,NNP,2
Aceclofenac,Aceclofenac,PROPN,NNP,1
Acemetacin,Acemetacin,PROPN,NNP,1
Acesulfame,Acesulfame,PROPN,NNP,1
Acetylcholine,Acetylcholine,PROPN,NNP,4
Achilles,Achilles,PROPN,NNP,11
Achilles,Achilles,PROPN,NNPS,1
Achlorhydria,Achlorhydria,PROPN,NNP,1
Achondroplasia,Achondroplasia,PROPN,NNP,2
Aciclovir,Aciclovir,PROPN,NNP,2
Acid,Acid,PROPN,NNP,2
Acrivastine,Acrivastine,PROPN,NNP,1
Acrocyanosis,Acrocyanosis,PROPN,NNP,1
Acrodermatitis,Acrodermatitis,PROPN,NNP,1
Acromegaly,Acromegaly,PROPN,NNP,2
Act,Act,PROPN,NNP,6
Actinic,Actinic,PROPN,NNP,1
Actinomycosis,Actinomycosis,PROPN,NNP,1
Acute,Acute,PROPN,NNP,4
Adam,Adam,PROPN,NNP,3
Adams,Adams,PROPN,NNP,5
Addison,Addison,PROPN,NNP,26
Adenine,Adenine,PROPN,NNP,1
Adenoid,Adenoid,PROPN,NNP,1
Adenoidectomy,Adenoidectomy,PROPN,NNP,1
Adenomas,Adenomas,PROPN,NNP,1
Adenomatosis,Adenomatosis,PROPN,NNP,1
Adherence,Adherence,PROPN,NNP,1
Adie,Adie,PROPN,NNP,2
Adler,Adler,PROPN,NNP,2
Adrenal,Adrenal,PROPN,NNP,3
Adrenocorticotrophic,Adrenocorticotrophic,PROPN,NNP,1
Adrian,Adrian,PROPN,NNP,2
Adult,Adult,PROPN,NNP,2
Aedes,Aedes,PROPN,NNP,6
Africa,Africa,PROPN,NNP,41
African,African,PROPN,NNP,2
African,African,PROPN,NNPS,1
Afterpains,Afterpains,PROPN,NNP,2
Agar,Agar,PROPN,NNP,2
Agency,Agency,PROPN,NNP,3
Agent,Agent,PROPN,NNP,2
Aggarwal,Aggarwal,PROPN,NNP,1
Agnosia,Agnosia,PROPN,NNP,2
Agraphia,Agraphia,PROPN,NNP,3
Air,Air,PROPN,NNP,1
Airborne,Airborne,PROPN,NNP,2
Aird,Aird,PROPN,NNP,3
Aj,Aj,PROPN,NNP,1
Akinesia,Akinesia,PROPN,NNP,1
Alan,Alan,PROPN,NNP,2
Albendazole,Albendazole,PROPN,NNP,1
Albert,Albert,PROPN,NNP,1
Albright,Albright,PROPN,NNP,2
Albumin,Albumin,PROPN,NNP,1
Albuminuria,Albuminuria,PROPN,NNP,2
Alcoholics,Alcoholics,PROPN,NNP,2
Aldesleukin,Aldesleukin,PROPN,NNP,2
Aldosteronism,Aldosteronism,PROPN,NNP,2
Aldrich,Aldrich,PROPN,NNP,1
Alert,Alert,PROPN,NNP,1
Alex,Alex,PROPN,NNP,2
Alexander,Alexander,PROPN,NNP,4
Alexandre,Alexandre,PROPN,NNP,1
Alexia,Alexia,PROPN,NNP,1
Alfred,Alfred,PROPN,NNP,1
Alfuzosin,Alfuzosin,PROPN,NNP,1
Alimemazine,Alimemazine,PROPN,NNP,1
Alison,Alison,PROPN,NNP,1
Alka,Alka,PROPN,NNP,2
Allele,Allele,PROPN,NNP,2
Allergens,Allergens,PROPN,NNP,2
Allergy,Allergy,PROPN,NNP,1
Aloe,Aloe,PROPN,NNP,2
Alopecia,Alopecia,PROPN,NNP,1
Alprazolam,Alprazolam,PROPN,NNP,1
Alprostadil,Alprostadil,PROPN,NNP,1
Alteplase,Alteplase,PROPN,NNP,1
Alternative,Alternative,PROPN,NNP,1
Alveoli,Alveoli,PROPN,NNP,2
Alveolitis,Alveolitis,PROPN,NNP,3
Alveolus,Alveolus,PROPN,NNP,1
Alveoplasty,Alveoplasty,PROPN,NNP,1
Alyson,Alyson,PROPN,NNP,1
Alzheimer,Alzheimer,PROPN,NNP,24
Amalgam,Amalgam,PROPN,NNP,2
Amanda,Amanda,PROPN,NNP,2
Amanita,Amanita,PROPN,NNP,3
Amantadine,Amantadine,PROPN,NNP,3
Ambidexterity,Ambidexterity,PROPN,NNP,1
Amblyopia,Amblyopia,PROPN,NNP,1
Ambroise,Ambroise,PROPN,NNP,1
Amenorrhoea,Amenorrhoea,PROPN,NNP,1
America,America,PROPN,NNP,20
American,American,PROPN,NNP,1
Americas,Americas,PROPN,NNPS,1
Amikacin,Amikacin,PROPN,NNP,1
Amiloride,Amiloride,PROPN,NNP,1
Aminophylline,Aminophylline,PROPN,NNP,1
Aminosalicylate,Aminosalicylate,PROPN,NNP,1
Amitriptyline,Amitriptyline,PROPN,NNP,2
Amnesia,Amnesia,PROPN,NNP,2
Amniocentesis,Amniocentesis,PROPN,NNP,5
Amniotomy,Amniotomy,PROPN,NNP,1
Amoebae,Amoebae,PROPN,NNP,1
Amoebiasis,Amoebiasis,PROPN,NNP,2
Amorolfine,Amorolfine,PROPN,NNP,1
Amoxapine,Amoxapine,PROPN,NNP,1
Amoxicillin,Amoxicillin,PROPN,NNP,2
Amphetamine,Amphetamine,PROPN,NNP,1
Amphotericin,Amphotericin,PROPN,NNP,1
Ampicillin,Ampicillin,PROPN,NNP,2
Ampulla,Ampulla,PROPN,NNP,1
Amputation,Amputation,PROPN,NNP,4
Amsler,Amsler,PROPN,NNP,2
Amy,Amy,PROPN,NNP,2
Amyloid,Amyloid,PROPN,NNP,1
Amyloidosis,Amyloidosis,PROPN,NNP,1
Anaemias,Anaemias,PROPN,NNP,1
Anaesthesia,Anaesthesia,PROPN,NNP,2
Anaesthetist,Anaesthetist,PROPN,NNP,1
Analgesia,Analgesia,PROPN,NNP,2
Anaphylactic,Anaphylactic,PROPN,NNP,1
Anatomy,Anatomy,PROPN,NNP,1
Ancylostomiasis,Ancylostomiasis,PROPN,NNP,1
Anders,Anders,PROPN,NNP,1
Anderson,Anderson,PROPN,NNP,1
Andes,Andes,PROPN,NNP,1
Andrea,Andrea,PROPN,NNP,1
Andreas,Andreas,PROPN,NNP,1
Andrew,Andrew,PROPN,NNP,3
Androgens,Androgens,PROPN,NNP,4
Anencephaly,Anencephaly,PROPN,NNP,2
Aneurysm,Aneurysm,PROPN,NNP,1
Angina,Angina,PROPN,NNP,4
Angioedema,Angioedema,PROPN,NNP,3
Angiogenesis,Angiogenesis,PROPN,NNP,1
Angiogram,Angiogram,PROPN,NNP,3
Angiotensin,Angiotensin,PROPN,NNP,4
Anhedonia,Anhedonia,PROPN,NNP,1
Animal,Animal,PROPN,NNP,2
Ankrett,Ankrett,PROPN,NNP,1
Ankylosis,Ankylosis,PROPN,NNP,1
Ann,Ann,PROPN,NNP,5
Annatto,Annatto,PROPN,NNP,1
Anne,Anne,PROPN,NNP,2
Annular,Annular,PROPN,NNP,1
Anodontia,Anodontia,PROPN,NNP,1
Anonymous,Anonymous,PROPN,NNP,2
Anopheles,Anopheles,PROPN,NNP,2
Anoxia,Anoxia,PROPN,NNP,2
Anrep,Anrep,PROPN,NNP,1
Antacids,Antacids,PROPN,NNP,1
Antazoline,Antazoline,PROPN,NNP,1
Anteflexion,Anteflexion,PROPN,NNP,1
Antepartum,Antepartum,PROPN,NNP,1
Anthony,Anthony,PROPN,NNP,5
Anthracosis,Anthracosis,PROPN,NNP,1
Anti,Anti,PROPN,NNP,2
Antibacterial,Antibacterial,PROPN,NNP,2
Antibiotic,Antibiotic,PROPN,NNP,3
Antibiotics,Antibiotics,PROPN,NNPS,1
Antibodies,Antibodies,PROPN,NNP,1
Anticancer,Anticancer,PROPN,NNP,1
Anticholinergic,Anticholinergic,PROPN,NNP,1
Anticoagulant,Anticoagulant,PROPN,NNP,3
Antifungal,Antifungal,PROPN,NNP,3
Antihistamine,Antihistamine,PROPN,NNP,4
Antirabies,Antirabies,PROPN,NNP,1
Antiserum,Antiserum,PROPN,NNP,1
Antivenom,Antivenom,PROPN,NNP,1
Antivenoms,Antivenoms,PROPN,NNP,2
Antlmalarlal,Antlmalarlal,PROPN,NNP,1
Antonj,Antonj,PROPN,NNP,1
Anuria,Anuria,PROPN,NNP,2
Aorta,Aorta,PROPN,NNP,6
Aortitis,Aortitis,PROPN,NNP,3
Aparna,Aparna,PROPN,NNP,1
Apathy,Apathy,PROPN,NNP,1
Apgar,Apgar,PROPN,NNP,2
Aphakia,Aphakia,PROPN,NNP,2
Apheresis,Apheresis,PROPN,NNP,1
Aphrodite,Aphrodite,PROPN,NNP,1
Apocrine,Apocrine,PROPN,NNP,2
Apoptosis,Apoptosis,PROPN,NNP,1
Appendicectomy,Appendicectomy,PROPN,NNP,1
Appendix,Appendix,PROPN,NNP,1
Appetite,Appetite,PROPN,NNP,6
Applanation,Applanation,PROPN,NNP,3
Arabia,Arabia,PROPN,NNP,2
Arachnoiditis,Arachnoiditis,PROPN,NNP,1
Archer,Archer,PROPN,NNP,1
Arcus,Arcus,PROPN,NNP,2
Argentinian,Argentinian,PROPN,NNP,1
Ariel,Ariel,PROPN,NNP,1
Arlene,Arlene,PROPN,NNP,1
Arnold,Arnold,PROPN,NNP,1
Arrhythmias,Arrhythmias,PROPN,NNP,1
Arrowroot,Arrowroot,PROPN,NNP,1
Art,Art,PROPN,NNP,2
Arteriole,Arteriole,PROPN,NNP,1
Arteritis,Arteritis,PROPN,NNP,1
Arthrodesis,Arthrodesis,PROPN,NNP,1
Arthroscope,Arthroscope,PROPN,NNP,2
Arthur,Arthur,PROPN,NNP,4
Artificial,Artificial,PROPN,NNP,1
AsC,AsC,PROPN,NNP,1
Asbestosis,Asbestosis,PROPN,NNP,3
Ascariasis,Ascariasis,PROPN,NNP,3
Ascaris,Ascaris,PROPN,NNP,1
Ascites,Ascites,PROPN,NNP,2
Ashkenazi,Ashkenazi,PROPN,NNP,1
AshwaniTyagi,AshwaniTyagi,PROPN,NNP,1
Ashworth,Ashworth,PROPN,NNP,1
Asia,Asia,PROPN,NNP,14
Asians,Asians,PROPN,NNPS,1
Aspartame,Aspartame,PROPN,NNP,1
Asperger,Asperger,PROPN,NNP,4
Asphyxia,Asphyxia,PROPN,NNP,1
Aspiration,Aspiration,PROPN,NNP,4
Aspirin,Aspirin,PROPN,NNP,4
Associate,Associate,PROPN,NNP,1
Association,Association,PROPN,NNP,2
Asthma,Asthma,PROPN,NNP,3
Astrid,Astrid,PROPN,NNP,2
Astrocytomas,Astrocytomas,PROPN,NNP,1
Ataxia,Ataxia,PROPN,NNP,1
Atelectasis,Atelectasis,PROPN,NNP,1
Atenolol,Atenolol,PROPN,NNP,1
Atheroma,Atheroma,PROPN,NNP,1
Athetosis,Athetosis,PROPN,NNP,1
Atmospheric,Atmospheric,PROPN,NNP,1
Atony,Atony,PROPN,NNP,1
Atopic,Atopic,PROPN,NNP,1
Atorvastatin,Atorvastatin,PROPN,NNP,1
Atractaspididae,Atractaspididae,PROPN,NNP,1
Atrial,Atrial,PROPN,NNP,1
Atropine,Atropine,PROPN,NNP,3
Auranofin,Auranofin,PROPN,NNP,1
Australia,Australia,PROPN,NNP,2
Australian,Australian,PROPN,NNP,1
Austrian,Austrian,PROPN,NNP,1
Autoimmune,Autoimmune,PROPN,NNP,3
Automatism,Automatism,PROPN,NNP,1
Avloclor,Avloclor,PROPN,NNP,2
Avulsion,Avulsion,PROPN,NNP,1
Axon,Axon,PROPN,NNP,2
Ayurvedism,Ayurvedism,PROPN,NNP,1
Azapropazone,Azapropazone,PROPN,NNP,1
Azatadine,Azatadine,PROPN,NNP,1
Azathioprine,Azathioprine,PROPN,NNP,3
Azithromycin,Azithromycin,PROPN,NNP,2
Azlocillin,Azlocillin,PROPN,NNP,1
Azoospermia,Azoospermia,PROPN,NNP,2
Aztreonam,Aztreonam,PROPN,NNP,1
B,B,PROPN,NNP,63
BABY,BABY,PROPN,NNP,2
BACK,BACK,PROPN,NNP,2
BACLOFEN,BACLOFEN,PROPN,NNP,1
BACTERIOSTATIC,BACTERIOSTATIC,PROPN,NNP,1
BACTERIURIA,BACTERIURIA,PROPN,NNP,1
BALANCED,BALANCED,PROPN,NNP,1
BARIUM,BARIUM,PROPN,NNP,3
BARRE,BARRE,PROPN,NNP,2
BARRIER,BARRIER,PROPN,NNP,1
BARTHOLIN,BARTHOLIN,PROPN,NNP,1
BASAL,BASAL,PROPN,NNP,1
BC,BC,PROPN,NNP,1
BCC,BCC,PROPN,NNP,1
BCG,BCG,PROPN,NNP,12
BDS,BDS,PROPN,NNP,6
BEHAVIOURAL,BEHAVIOURAL,PROPN,NNP,1
BEREAVEMENT,BEREAVEMENT,PROPN,NNP,1
BERYLLIOSIS,BERYLLIOSIS,PROPN,NNP,1
BETA,BETA,PROPN,NNP,1
BIFIDA,BIFIDA,PROPN,NNP,1
BILATERAL,BILATERAL,PROPN,NNP,1
BILE,BILE,PROPN,NNP,1
BILIARY,BILIARY,PROPN,NNP,1
BILLROTH,BILLROTH,PROPN,NNP,1
BIOLOGICAL,BIOLOGICAL,PROPN,NNP,1
BIOPSY,BIOPSY,PROPN,NNP,3
BIOTIN,BIOTIN,PROPN,NNP,1
BIRTH,BIRTH,PROPN,NNP,2
BIRTHING,BIRTHING,PROPN,NNP,1
BLADDER,BLADDER,PROPN,NNP,3
BLEEDING,BLEEDING,PROPN,NNP,1
BLIND,BLIND,PROPN,NNP,1
BLOODVESSELS,BLOODVESSELS,PROPN,NNP,1
BM,BM,PROPN,NNP,1
BMA,BMA,PROPN,NNP,2
BMI,BMI,PROPN,NNP,15
BMR,BMR,PROPN,NNP,7
BMT,BMT,PROPN,NNP,6
BODY,BODY,PROPN,NNP,2
BOLUS,BOLUS,PROPN,NNP,1
BONE,BONE,PROPN,NNP,1
BORNE,BORNE,PROPN,NNP,1
BOTTLE,BOTTLE,PROPN,NNP,1
BOWEL,BOWEL,PROPN,NNP,2
BOYS,BOYS,PROPN,NNP,2
BP,BP,PROPN,NNP,1
BPH,BPH,PROPN,NNP,1
BPharm,BPharm,PROPN,NNP,1
BRAIN,BRAIN,PROPN,NNP,14
BRAINSTEM,BRAINSTEM,PROPN,NNP,1
BRCA,BRCA,PROPN,NNP,2
BREAKTHROUGH,BREAKTHROUGH,PROPN,NNP,1
BREATHLESSNESS,BREATHLESSNESS,PROPN,NNP,1
BRITISH,BRITISH,PROPN,NNP,1
BRONCHOSCOPY,BRONCHOSCOPY,PROPN,NNP,1
BRONCHUS,BRONCHUS,PROPN,NNP,1
BS,BS,PROPN,NNP,3
BSE,BSE,PROPN,NNP,12
BSIP,BSIP,PROPN,NNP,5
BULB,BULB,PROPN,NNP,1
BULL,BULL,PROPN,NNP,1
BULLA,BULLA,PROPN,NNP,1
BUNIONS,BUNIONS,PROPN,NNP,1
BURNETTI,BURNETTI,PROPN,NNP,1
BURSITIS,BURSITIS,PROPN,NNP,2
BY,BY,PROPN,NNP,1
BYPASS,BYPASS,PROPN,NNP,1
BYSSINOSIS,BYSSINOSIS,PROPN,NNP,1
Babesia,Babesia,PROPN,NNP,1
Babinski,Babinski,PROPN,NNP,3
Baby,Baby,PROPN,NNP,3
Bacilli,Bacilli,PROPN,NNP,1
Bacillus,Bacillus,PROPN,NNP,3
Bacitracin,Bacitracin,PROPN,NNP,1
Baclofen,Baclofen,PROPN,NNP,1
Bacteraemia,Bacteraemia,PROPN,NNP,1
Bacteria,Bacteria,PROPN,NNP,2
Bacteriostatic,Bacteriostatic,PROPN,NNP,1
Bacteriuria,Bacteriuria,PROPN,NNP,1
Bacteroides,Bacteroides,PROPN,NNP,1
Bagassosis,Bagassosis,PROPN,NNP,1
Bagg,Bagg,PROPN,NNP,1
Baggaley,Baggaley,PROPN,NNP,1
Bailey,Bailey,PROPN,NNP,1
Baker,Baker,PROPN,NNP,5
Balanitis,Balanitis,PROPN,NNP,2
Ballantyne,Ballantyne,PROPN,NNP,1
Balsam,Balsam,PROPN,NNP,1
Balwant,Balwant,PROPN,NNP,1
Bambuterol,Bambuterol,PROPN,NNP,1
Barbiturates,Barbiturates,PROPN,NNP,1
Bardet,Bardet,PROPN,NNP,1
Barium,Barium,PROPN,NNP,7
Barnaard,Barnaard,PROPN,NNP,1
Barotrauma,Barotrauma,PROPN,NNP,1
Barr,Barr,PROPN,NNP,12
Barre,Barre,PROPN,NNP,4
Barrett,Barrett,PROPN,NNP,5
Barrie,Barrie,PROPN,NNP,1
Barth,Barth,PROPN,NNP,1
Bartholin,Bartholin,PROPN,NNP,11
Bartholinitis,Bartholinitis,PROPN,NNP,1
Bartholomew,Bartholomew,PROPN,NNP,1
Bartonella,Bartonella,PROPN,NNP,2
Basil,Basil,PROPN,NNP,1
Basiliximab,Basiliximab,PROPN,NNP,1
Bat,Bat,PROPN,NNP,1
Bates,Bates,PROPN,NNP,2
Batten,Batten,PROPN,NNP,2
Bay,Bay,PROPN,NNP,1
Bazin,Bazin,PROPN,NNP,2
Beans,Beans,PROPN,NNPS,1
Becker,Becker,PROPN,NNP,3
Beclometasone,Beclometasone,PROPN,NNP,3
Beconase,Beconase,PROPN,NNP,2
Becquerel,Becquerel,PROPN,NNP,1
Beddow,Beddow,PROPN,NNP,1
Beef,Beef,PROPN,NNP,2
Beeftapeworm,Beeftapeworm,PROPN,NNP,1
Behcet,Behcet,PROPN,NNP,4
Behget,Behget,PROPN,NNP,2
Beider,Beider,PROPN,NNP,2
Bell,Bell,PROPN,NNP,4
Belladonna,Belladonna,PROPN,NNP,1
Bence,Bence,PROPN,NNP,1
Bender,Bender,PROPN,NNP,1
Bendroflumethiazide,Bendroflumethiazide,PROPN,NNP,1
Benign,Benign,PROPN,NNP,2
Bennett,Bennett,PROPN,NNP,1
Benorilate,Benorilate,PROPN,NNP,2
Benperidol,Benperidol,PROPN,NNP,1
Benwell,Benwell,PROPN,NNP,1
Benzhexol,Benzhexol,PROPN,NNP,1
Benzocaine,Benzocaine,PROPN,NNP,1
Benzodiazepine,Benzodiazepine,PROPN,NNP,4
Benzoyl,Benzoyl,PROPN,NNP,1
Benzydamine,Benzydamine,PROPN,NNP,1
Benzylpenicillin,Benzylpenicillin,PROPN,NNP,2
Beriberi,Beriberi,PROPN,NNP,1
Bernard,Bernard,PROPN,NNP,3
Berry,Berry,PROPN,NNP,2
Berwick,Berwick,PROPN,NNP,1
Best,Best,PROPN,NNP,1
Betahistine,Betahistine,PROPN,NNP,1
Betaxolol,Betaxolol,PROPN,NNP,2
Betel,Betel,PROPN,NNP,1
Betnovate,Betnovate,PROPN,NNP,1
Bezafibrate,Bezafibrate,PROPN,NNP,1
Bhalla,Bhalla,PROPN,NNP,1
Bicarbonate,Bicarbonate,PROPN,NNP,2
Bicornuate,Bicornuate,PROPN,NNP,1
Biedl,Biedl,PROPN,NNP,3
Bilateral,Bilateral,PROPN,NNP,1
Bile,Bile,PROPN,NNP,9
Biliary,Biliary,PROPN,NNP,1
Bilirubin,Bilirubin,PROPN,NNP,4
Billroth,Billroth,PROPN,NNP,1
Binding,Binding,PROPN,NNP,2
Binge,Binge,PROPN,NNP,1
Binor,Binor,PROPN,NNP,1
Biofotos,Biofotos,PROPN,NNP,1
Biophoto,Biophoto,PROPN,NNP,1
Bioprosthesis,Bioprosthesis,PROPN,NNP,1
Biopsy,Biopsy,PROPN,NNP,2
Biotin,Biotin,PROPN,NNP,3
Biperiden,Biperiden,PROPN,NNP,1
Bisacodyl,Bisacodyl,PROPN,NNP,1
Bisoprolol,Bisoprolol,PROPN,NNP,2
Bites,Bites,PROPN,NNPS,1
Bitot,Bitot,PROPN,NNP,2
Bj,Bj,PROPN,NNP,2
Black,Black,PROPN,NNP,1
Bladder,Bladder,PROPN,NNP,3
Blaese,Blaese,PROPN,NNP,1
Blake,Blake,PROPN,NNP,1
Blalock,Blalock,PROPN,NNP,1
Blank,Blank,PROPN,NNP,1
Blastocyst,Blastocyst,PROPN,NNP,3
Bleeding,Bleeding,PROPN,NNP,2
Blepharospasm,Blepharospasm,PROPN,NNP,1
Blind,Blind,PROPN,NNP,1
Blinking,Blinking,PROPN,NNP,1
Bloodvessel,Bloodvessel,PROPN,NNP,1
Bloom,Bloom,PROPN,NNP,2
Blue,Blue,PROPN,NNP,2
Blundell,Blundell,PROPN,NNP,1
Body,Body,PROPN,NNP,1
Bone,Bone,PROPN,NNP,2
Bony,Bony,PROPN,NNP,2
Bornholm,Bornholm,PROPN,NNP,1
Borrelia,Borrelia,PROPN,NNP,2
Bosanko,Bosanko,PROPN,NNP,1
Botox,Botox,PROPN,NNP,1
Bouchard,Bouchard,PROPN,NNP,2
Bowen,Bowen,PROPN,NNP,4
Bowl,Bowl,PROPN,NNP,1
Bowman,Bowman,PROPN,NNP,1
Boylston,Boylston,PROPN,NNP,1
Bq,Bq,PROPN,NNP,2
Brad,Brad,PROPN,NNP,1
Bradycardias,Bradycardias,PROPN,NNP,1
Bradykinin,Bradykinin,PROPN,NNP,2
Braille,Braille,PROPN,NNP,2
Brain,Brain,PROPN,NNP,1
Brainstem,Brainstem,PROPN,NNP,1
Bran,Bran,PROPN,NNP,2
Branch,Branch,PROPN,NNP,3
Braxton,Braxton,PROPN,NNP,5
